id,product_name,price,expiration_date
1,orange,1.73,2022-05-22
2,melon,1.29,2022-06-13
3,kiwi,1.54,2022-04-08
4,banana,1.84,2022-05-05
5,orange,1.56,2022-05-05
6,orange,1.51,2022-05-07
7,kiwi,1.05,2022-04-10
8,banana,1.47,2022-04-04
9,banana,1.75,2022-05-07
10,melon,1.37,2022-04-20
11,kiwi,1.9,2022-05-26
12,orange,1.91,2022-06-04
13,orange,1.43,2022-04-26
14,melon,1.03,2022-04-09
15,banana,1.47,2022-05-19
16,orange,1.32,2022-05-19
17,banana,1.05,2022-05-23
18,orange,1.64,2022-05-22
19,kiwi,1.44,2022-04-27
20,kiwi,1.17,2022-06-28
21,melon,1.63,2022-05-06
22,melon,1.18,2022-05-26
23,kiwi,1.63,2022-06-08
24,orange,1.05,2022-04-10
25,melon,1.56,2022-06-17
26,kiwi,1.46,2022-04-01
27,kiwi,1.53,2022-04-29
28,melon,1.97,2022-04-02
29,melon,1.49,2022-05-07
30,orange,1.79,2022-06-19
31,banana,1.51,2022-06-03
32,melon,1.21,2022-04-13
33,melon,1.66,2022-05-03
34,melon,1.09,2022-05-29
35,banana,1.74,2022-06-19
36,orange,1.44,2022-04-07
37,orange,1.68,2022-04-05
38,melon,1.86,2022-05-25
39,banana,1.1,2022-04-02
40,melon,1.13,2022-04-16
41,banana,1.05,2022-06-17
42,orange,1.8,2022-05-17
43,kiwi,1.39,2022-04-10
44,melon,1.23,2022-05-22
45,orange,1.94,2022-04-26
46,kiwi,1.38,2022-05-30
47,kiwi,1.81,2022-04-13
48,melon,1.12,2022-06-29
49,orange,1.13,2022-04-19
50,kiwi,1.94,2022-04-27
51,banana,1.42,2022-05-02
52,banana,1.27,2022-06-02
53,orange,1.87,2022-04-04
54,banana,1.47,2022-05-17
55,orange,1.22,2022-06-01
56,melon,1.83,2022-04-09
57,melon,1.02,2022-04-30
58,banana,1.48,2022-04-17
59,kiwi,1.52,2022-04-21
60,banana,1.79,2022-05-22
61,orange,1.41,2022-05-31
62,melon,1.29,2022-04-15
63,kiwi,1.51,2022-05-20
64,orange,1.08,2022-05-19
65,orange,1.54,2022-06-25
66,orange,1.6,2022-05-06
67,orange,1.98,2022-05-04
68,orange,1.87,2022-04-30
69,banana,1.69,2022-06-18
70,kiwi,1.47,2022-04-29
71,banana,1.34,2022-06-25
72,melon,1.98,2022-06-04
73,melon,1.67,2022-05-08
74,banana,1.55,2022-04-08
75,kiwi,1.74,2022-06-13
76,kiwi,1.76,2022-05-26
77,melon,1.42,2022-06-26
78,kiwi,1.22,2022-06-05
79,banana,1.58,2022-06-26
80,kiwi,1.07,2022-05-25
81,kiwi,1.41,2022-05-11
82,kiwi,1.1,2022-06-29
83,orange,1.41,2022-06-16
84,orange,1.21,2022-04-16
85,melon,1.57,2022-05-24
86,melon,1.38,2022-06-26
87,orange,1.67,2022-04-05
88,melon,1.96,2022-06-18
89,orange,1.39,2022-06-17
90,kiwi,1.58,2022-06-29
91,banana,1.45,2022-04-24
92,orange,1.53,2022-05-05
93,kiwi,1.98,2022-05-21
94,banana,1.43,2022-05-05
95,orange,1.58,2022-06-22
96,kiwi,1.46,2022-06-27
97,melon,1.9,2022-05-16
98,orange,1.7,2022-04-17
99,kiwi,1.78,2022-06-23
100,kiwi,1.31,2022-05-10
